      X Adcolor     Time TimeSearching Click AmountSpent
1     1    Blue 21.09416    -2.5794421     0    21.04152
2     2   Green 16.97300    -1.9682096     0    17.60646
3     3   Green 18.99776    -1.6540130     0    23.49281
4     4   Green 18.69075    -1.2315701     0    19.37057
5     5    Blue 19.22734     0.4760909     0    20.19862
6     6    Blue 19.21352     1.6969373     0    20.97329
7     7    Blue 20.55634     2.3452429     0    17.05432
8     8   Green 17.36448     2.3901880     0    17.89496
9     9    Blue 19.21923     2.4497139     0    21.59951
10   10    Blue 21.42040     2.8598533     0    17.13456
11   11    Blue 19.51334     3.5981863     0    15.15217
12   12    Blue 18.51667     5.1593935     0    20.71540
13   13    Blue 20.30423     5.6968958     0    16.49641
14   14   Green 16.39035     6.2843078     0    16.21169
15   15    Blue 22.06504     6.8202770     0    19.07908
16   16    Blue 19.36429     7.0484103     0    23.57266
17   17   Green 17.42502     7.3846723     0    13.76235
18   18    Blue 20.38826     8.1428426     1    21.82251
19   19    Blue 17.53715     8.2079606     0    16.79437
20   20   Green 17.30913     8.3422048     0    19.65355
21   21    Blue 19.90021     8.4073406     0    15.03246
22   22    Blue 20.17915     8.4169734     0    19.56264
23   23    Blue 22.22865     8.9161961     0    19.72992
24   24    Blue 20.47692     8.9181446     0    12.65462
25   25    Blue 20.51411     8.9934880     0    20.24049
26   26   Green 17.47443     9.0223296     0    22.46331
27   27    Blue 18.42054     9.2003685     0    28.09976
28   28   Green 16.84641    10.0076300     0    20.66496
29   29    Blue 20.04172    10.3421233     0    18.26890
30   30    Blue 20.11704    10.4027589     1    17.26147
31   31   Green 17.41059    10.4292039     0    13.42544
32   32   Green 18.18347    10.7043949     1    19.24942
33   33    Blue 19.19017    11.2324577     0    15.22500
34   34    Blue 20.50184    11.2642256     0    16.98748
35   35   Green 19.06860    11.5406760     1    16.30026
36   36    Blue 19.80797    11.8425223     1    19.75830
37   37    Blue 20.62993    11.9104407     0    19.45198
38   38   Green 16.71378    12.2469022     0    22.34706
39   39   Green 17.73666    13.0054189     0    26.07356
40   40   Green 16.78927    13.3516818     0    18.67631
41   41    Blue 20.26446    13.4501037     0    17.66077
42   42   Green 16.80881    13.7971186     0    18.29997
43   43    Blue 18.81661    13.9788402     0    23.47958
44   44   Green 16.98888    14.5229890     0    14.13661
45   45    Blue 20.25449    14.6116899     0    14.79925
46   46   Green 16.75998    14.7046555     0    19.76300
47   47    Blue 20.28818    14.7981988     0    18.20187
48   48   Green 18.14862    14.8417533     0    14.80496
49   49    Blue 19.37271    15.0775684     1    19.48238
50   50   Green 17.88385    15.2372207     1    20.06861
51   51    Blue 19.70702    15.4070714     1    17.49847
52   52   Green 16.47982    15.4363252     1    21.13404
53   53   Green 17.52245    15.5519374     1    19.76997
54   54    Blue 19.14994    15.9291660     1    23.69378
55   55    Blue 19.29464    16.1255434     1    20.34031
56   56   Green 17.84124    16.1620580     1    19.05602
57   57   Green 18.49287    16.1945673     1    20.04831
58   58   Green 16.94280    16.4292881     1    28.88491
59   59   Green 18.29986    16.4520135     1    21.43732
60   60    Blue 19.89141    16.7592524     1    22.43843
61   61   Green 18.49667    16.8635537     1    16.06550
62   62   Green 18.85989    16.9577448     1    20.06357
63   63   Green 19.13764    17.2648001     1    17.80975
64   64    Blue 19.04964    17.5389706     1    18.79017
65   65    Blue 18.28160    17.6409928     1    14.27824
66   66    Blue 20.40292    17.7716746     1    15.19985
67   67   Green 19.86928    17.8430567     1    15.15248
68   68    Blue 19.80077    18.0823015     1    20.12140
69   69   Green 17.23273    18.1780834     1    18.67316
70   70   Green 18.46908    18.4523002     1    20.12885
71   71   Green 18.24168    18.6705296     1    25.68975
72   72   Green 19.40200    18.7626327     1    19.37564
73   73   Green 17.06486    19.0001070     1    16.67844
74   74   Green 18.28145    19.1187008     1    16.10792
75   75    Blue 20.04668    19.2467654     1    18.61110
76   76   Green 18.01353    19.3944208     1    22.10043
77   77    Blue 21.21842    19.4347582     1    16.48600
